Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
2025-01-01;00:00:00;1.74901424590337;1988.1770052514435;;2.828602107805111;2000.0;48.56576783541071;2000.0;50.08971748600091;2000.0;912.9869483425753;15.147309218518586;77.49867467282122;0.6039418879834068
2025-01-01;01:00:00;1.7914578502409133;1996.7093595709798;;2.9539482931808863;2000.0;;2000.0;49.08660642841723;2000.0;810.6643527254313;17.4920281077103;72.18014790160925;0.7057905876900091
2025-01-01;02:00:00;2.2443065614302076;2000.0;;2.76726535823105;2000.0;65.64294878587582;2000.0;39.96933819328695;2000.0;951.4386297399425;21.427686134029305;73.55614218178378;0.7670550976641687
2025-01-01;03:00:00;2.6933050599903003;2000.0;;;2000.0;80.68181805205822;2000.0;46.20542739194029;2000.0;910.7689646029368;24.370314524004808;61.86529567374008;0.7482363244463184
2025-01-01;04:00:00;2.309176850988994;2000.0;;3.2288714125847653;2000.0;68.50858902866572;2000.0;30.05950394654029;2000.0;1011.3691913245385;24.69052445404631;76.3725588802275;0.8504966060339353
2025-01-01;05:00:00;;2000.0;;2.272756468715283;2000.0;;2000.0;30.7336368572834;2000.0;967.0210921362059;26.176573889646377;62.25014695373973;0.9224167253409327
2025-01-01;06:00:00;2.9737638446522174;2000.0;;2.8003281991073656;2000.0;92.36619742142975;2000.0;18.005473122613154;2000.0;951.9892947079504;24.67389365154038;63.53746746622586;0.9209020161218964
2025-01-01;07:00:00;2.6995636624060344;2000.0;;1.9061578394894803;1967.132188990673;74.35132736985906;2000.0;34.69301628993152;2000.0;1028.0115972187639;24.847365472099384;48.49309796905528;0.8506842268593593
2025-01-01;08:00:00;2.2385805476255096;2000.0;;1.7109491150012466;1925.4724312837545;;2000.0;19.610703036328232;2000.0;1330.1741401137692;25.88885214824385;39.750666913716564;0.8806027948485536
2025-01-01;09:00:00;2.3991641161436825;2000.0;;2.232463100506702;2000.0;;2000.0;30.273382147540016;2000.0;1189.6870739803194;22.86113500225282;38.40014749788413;0.8578764969461863
2025-01-01;10:00:00;1.9109746921562611;2000.0;240.46211088373008;2.1625567685539395;2000.0;61.69947264755999;2000.0;;2000.0;1326.2950726054758;19.636955186355777;37.46040354618529;0.7011850481894775
2025-01-01;11:00:00;1.6932182145211918;2893.33061032347;223.16663100102673;2.064415896302714;1912.0077772282557;73.31419863033328;2000.0;15.30192440690292;2000.0;1204.6383045729062;17.637016283206272;35.09858705700433;0.5796340266001279
2025-01-01;12:00:00;1.6725886814698103;4302.486782263305;208.67134782887234;1.1736810367127435;;59.248262123767375;2000.0;8.482633834314004;2000.0;1300.7312834179752;16.55572693545683;44.307811439016405;0.6887031693203592
2025-01-01;13:00:00;0.7930787860103921;1410.3855435104483;;1.537471530368832;1809.4734563323748;;2000.0;;3907.5403349288085;1303.408114859314;14.101150064461017;31.402841762008798;0.5381210321731309
2025-01-01;14:00:00;0.6325246502460905;1451.2621888357216;;2.1229776541522214;1813.2603039988685;43.19973642346787;2000.0;17.549372175261773;2000.0;1430.7103094986587;8.736803287570343;34.65563114872789;0.42713540855544035
2025-01-01;15:00:00;0.7949176381598159;1466.2122340680223;;1.921641989394974;2000.0;38.24923328055673;2000.0;16.842993883004244;2000.0;1206.4919675348897;8.472819100704834;44.422884429164135;0.36329020089600467
2025-01-01;16:00:00;0.5167278004936784;1303.773133409114;;1.620522861521014;1757.0784828648298;;2000.0;12.964378107088187;2000.0;1137.3239170545253;6.327981698325647;37.06667859286709;0.34753190574085707
2025-01-01;17:00:00;;4391.490835213523;;2.4021538440784123;2000.0;19.036203657793106;2000.0;16.240106689104717;3321.0160619284425;1147.9962064835934;5.242437964953755;49.62109178620556;0.36227317263935743
2025-01-01;18:00:00;;1391.5498841774381;;2.114077096403412;2000.0;10.100846869764512;2000.0;24.247777625138493;2000.0;1014.5142447818328;6.995461925646074;55.708602166622626;0.2245105931564257
2025-01-01;19:00:00;0.30697564593925103;1144.3787709962544;;3.298983270928649;2000.0;18.917344905957613;2000.0;45.58454616344275;2000.0;1037.6344234362982;4.9844345272684265;62.34312960250747;0.2901750241220923
2025-01-01;20:00:00;1.2602717672704715;1725.978829394446;;1.2530032976773002;2000.0;;2000.0;52.279667508067824;2000.0;956.7906927237309;5.476380307242932;66.74436679726593;0.4228907498623971
2025-01-01;21:00:00;;1472.2306037350838;;3.13661371737281;2000.0;30.132629412526036;2000.0;43.95785694521131;2000.0;869.2074488738596;6.7064452315817515;79.08082242078473;0.42909891343504075
2025-01-01;22:00:00;1.170258461406377;3939.971135673784;;3.5506204645570163;2000.0;;2000.0;46.48211404556762;2000.0;909.1374471966981;9.73817960319153;67.89669543715013;0.4869653860277378
2025-01-01;23:00:00;0.9396384035436938;1543.071055666731;;3.1020646184517;2000.0;30.821270724652162;2000.0;45.3687426422261;2000.0;863.9956003776504;11.30894014580755;71.09675252464838;0.5427391120381883
2025-01-02;00:00:00;;1807.5855788795952;;3.406174997750006;2000.0;55.0023835069824;2000.0;42.39308791014299;;895.6192263425957;13.70282735619142;78.04725165381787;0.6155240638266252
2025-01-02;01:00:00;1.8662139175052286;2000.0;;3.6672361965231777;2000.0;45.28154333438244;2000.0;55.63773921884669;2000.0;956.6435206467744;16.253235262524562;75.45043535202548;0.654236958339669
2025-01-02;02:00:00;1.704701926773309;1976.556590181517;155.3936986701099;3.104417255366832;2000.0;65.94176469173642;2000.0;56.829915631502715;2000.0;849.3758264371361;18.7541859438398;74.07664843396641;0.7220891741217987
2025-01-02;03:00:00;2.3491055085715944;2000.0;;2.7928998782248695;2000.0;;2000.0;37.36740754632215;2000.0;889.7460255141503;20.929819228339465;62.11637595946037;0.8524386567339826
